runtime_sample_id,source_sample_id,source_matrix,source_path,case_id,terrain_key,world,terrain_family,semantic_prior,style_prior,ramgate_enabled,ramgate_calibrated,ramgate_observed,ram_monitor_observed,ram_ctrl_risk,ram_fallen_prob,ram_recovery_prob,gate_stable_prob,gate_caution_prob,gate_unstable_prob,gate_override_prob,gate_first_action,gate_last_action,calibration_first,calibration_last,training_role,semantic_target,deploy_label,beta_v_target,beta_s_target,beta_e_target,sample_weight,note,pred_semantic_target,pred_deploy_label,pred_beta_v,pred_beta_s,pred_beta_e,semantic_correct,deploy_correct,score_json
tracer_runtime_v0_0000,tracer_v1_base_0000,gms_only,data/rollout_metrics/feasible_closed_loop_gms_on_v0.json,flat_normal_fast_closed_loop,flat_normal,earth,flat,validated_locomotion,fast,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,positive,validated_locomotion,deploy_forward,0.55,0.25,0.2,1.0,,validated_locomotion,deploy_forward,0.55,0.25,0.2,True,True,"{""validated_locomotion"": -38.736281147102474, ""cautious_probe"": -133.43062447831767, ""high_clearance_slow_probe"": -133.43062447831767, ""no_valid_forward_recovery_needed"": -115.6726960519634}"
tracer_runtime_v0_0001,tracer_v1_base_0001,gms_only,data/rollout_metrics/feasible_closed_loop_gms_on_v0.json,rough_mid_cautious_probe_closed_loop,rough_mid,tracer_rough_mid,rough,cautious_probe,cautious,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,positive,cautious_probe,deploy_forward,0.3,0.5,0.2,1.0,,cautious_probe,deploy_forward,0.3,0.5,0.2,True,True,"{""validated_locomotion"": -129.53546813897245, ""cautious_probe"": -42.63143748644777, ""high_clearance_slow_probe"": -137.07046187669164, ""no_valid_forward_recovery_needed"": -122.4058487168234}"
tracer_runtime_v0_0002,tracer_v1_base_0002,gms_only,data/rollout_metrics/feasible_closed_loop_gms_on_v0.json,slope_5deg_high_clearance_slow_probe_closed_loop,slope_5deg,tracer_slope_5deg,slope,high_clearance_slow_probe,high_clearance,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,positive,high_clearance_slow_probe,deploy_forward,0.25,0.55,0.2,1.0,,high_clearance_slow_probe,deploy_forward,0.25,0.55,0.2,True,True,"{""validated_locomotion"": -129.53546813897245, ""cautious_probe"": -137.07046187669164, ""high_clearance_slow_probe"": -42.63143748644777, ""no_valid_forward_recovery_needed"": -122.4058487168234}"
tracer_runtime_v0_0003,tracer_v1_base_0003,ramgate_raw,data/rollout_metrics/feasible_closed_loop_gms_ramgate_v0.json,flat_normal_fast_ramgate_closed_loop,flat_normal,earth,flat,validated_locomotion,fast,True,False,True,True,0.19357142857142856,0.5007857142857143,0.21635714285714286,0.07692307692307693,0.3076923076923077,0.6153846153846154,0.0,would_conservative_probe,keep,,,invalid_or_risky,no_valid_forward_recovery_needed,do_not_deploy_forward,0.07692307692307693,0.7730769230769231,0.15,1.0,"RAM gate likely produced a flat-terrain false positive: route stayed closed and no fall was detected, but unstable/override fractions were high and strict height margin failed.",validated_locomotion,deploy_forward,0.55,0.25,0.2,False,False,"{""validated_locomotion"": -176.67003542708736, ""cautious_probe"": -252.32138627555108, ""high_clearance_slow_probe"": -252.32138627555108, ""no_valid_forward_recovery_needed"": -196.49269992935274}"
tracer_runtime_v0_0004,tracer_v1_base_0004,ramgate_raw,data/rollout_metrics/feasible_closed_loop_gms_ramgate_v0.json,rough_mid_cautious_probe_ramgate_closed_loop,rough_mid,tracer_rough_mid,rough,cautious_probe,cautious,True,False,True,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0,keep,keep,,,positive,cautious_probe,deploy_forward,0.3,0.5,0.2,1.0,,cautious_probe,deploy_forward,0.3,0.5,0.2,True,True,"{""validated_locomotion"": -129.53546813897245, ""cautious_probe"": -17.21612495426777, ""high_clearance_slow_probe"": -111.65514934451168, ""no_valid_forward_recovery_needed"": -103.72249364411087}"
tracer_runtime_v0_0005,tracer_v1_base_0005,ramgate_raw,data/rollout_metrics/feasible_closed_loop_gms_ramgate_v0.json,slope_5deg_high_clearance_ramgate_closed_loop,slope_5deg,tracer_slope_5deg,slope,high_clearance_slow_probe,high_clearance,True,False,True,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0,keep,keep,,,positive,high_clearance_slow_probe,deploy_forward,0.25,0.55,0.2,1.0,,high_clearance_slow_probe,deploy_forward,0.25,0.55,0.2,True,True,"{""validated_locomotion"": -129.53546813897245, ""cautious_probe"": -111.65514934451168, ""high_clearance_slow_probe"": -17.21612495426777, ""no_valid_forward_recovery_needed"": -103.72249364411087}"
tracer_runtime_v0_0006,tracer_v1_base_0006,ramgate_calibrated,data/rollout_metrics/feasible_closed_loop_gms_ramgate_calibrated_v0.json,flat_normal_fast_ramgate_calibrated_closed_loop,flat_normal,earth,flat,validated_locomotion,fast,True,True,True,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0,keep,keep,warmup_hold,none,calibration_warning,validated_locomotion,deploy_forward,0.55,0.25,0.2,0.7,Flat false positive was reduced after RAM gate warmup/hysteresis and validated-fast protection.,validated_locomotion,deploy_forward,0.55,0.25,0.2,True,True,"{""validated_locomotion"": -38.736281147102474, ""cautious_probe"": -134.248374276761, ""high_clearance_slow_probe"": -134.248374276761, ""no_valid_forward_recovery_needed"": -175.68852797112078}"
tracer_runtime_v0_0007,tracer_v1_base_0007,ramgate_calibrated,data/rollout_metrics/feasible_closed_loop_gms_ramgate_calibrated_v0.json,rough_mid_cautious_probe_ramgate_calibrated_closed_loop,rough_mid,tracer_rough_mid,rough,cautious_probe,cautious,True,True,True,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0,keep,keep,warmup_hold,none,positive,cautious_probe,deploy_forward,0.3,0.5,0.2,1.0,,cautious_probe,deploy_forward,0.3,0.5,0.2,True,True,"{""validated_locomotion"": -129.53546813897245, ""cautious_probe"": -43.44918728489107, ""high_clearance_slow_probe"": -137.88821167513498, ""no_valid_forward_recovery_needed"": -182.42168063598078}"
tracer_runtime_v0_0008,tracer_v1_base_0008,ramgate_calibrated,data/rollout_metrics/feasible_closed_loop_gms_ramgate_calibrated_v0.json,slope_5deg_high_clearance_ramgate_calibrated_closed_loop,slope_5deg,tracer_slope_5deg,slope,high_clearance_slow_probe,high_clearance,True,True,True,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0,keep,keep,warmup_hold,none,positive,high_clearance_slow_probe,deploy_forward,0.25,0.55,0.2,1.0,,high_clearance_slow_probe,deploy_forward,0.25,0.55,0.2,True,True,"{""validated_locomotion"": -129.53546813897245, ""cautious_probe"": -137.88821167513498, ""high_clearance_slow_probe"": -43.44918728489107, ""no_valid_forward_recovery_needed"": -182.42168063598078}"
tracer_runtime_v0_0009,tracer_v1_neg_0000,negative_v1,data/sanity_results/tracer_fusion_ram_gate_joined_gate_eval_closed_slippery_20260624_151729.csv,gate_eval_closed_slippery_20260624_151729_sponge_firm_downslope,sponge_firm_downslope_5deg_forward,tracer_sponge_firm_downslope_5deg,sponge,validated_locomotion,sponge_tall_10_c080,True,False,True,True,0.298,0.9962,0.0,0.0,0.0,1.0,1.0,invalid_or_risky,would_conservative_probe,,,invalid_or_risky,no_valid_forward_recovery_needed,do_not_deploy_forward,0.1,0.75,0.15,1.0,high_confidence_negative: fallen_tail5_high=0.996,no_valid_forward_recovery_needed,do_not_deploy_forward,0.09935897435897437,0.7506410256410256,0.15,True,True,"{""validated_locomotion"": -158.12982529201577, ""cautious_probe"": -173.31781048272654, ""high_clearance_slow_probe"": -173.31781048272654, ""no_valid_forward_recovery_needed"": -74.50580516375783}"
