sample_id,source_matrix,source_path,case_id,terrain_key,world,semantic_input,style_input,decision,ramgate_enabled,ramgate_calibrated,ramgate_observed,ram_monitor_observed,locomotion_valid,no_fall_route_closed,strict_height_margin_valid,fallen_relative,dx,dy,min_rel_z,mpc_vx_mean,mpc_body_height_mean,mpc_clearance_mean,ram_ctrl_risk_mean,ram_fallen_mean,ram_recovery_mean,gate_stable_frac,gate_caution_frac,gate_unstable_frac,gate_override_frac,gate_first_action,gate_last_action,calibration_first,calibration_last,training_role,semantic_target,beta_v_target,beta_s_target,beta_e_target,preference_score,note,pred_semantic_target,pred_beta_v,pred_beta_s,pred_beta_e,correct,score_json
tracer_v1_base_0000,gms_only,data/rollout_metrics/feasible_closed_loop_gms_on_v0.json,flat_normal_fast_closed_loop,flat_normal,earth,validated_locomotion,fast,validated_locomotion,False,False,False,False,True,True,True,False,0.737203486669294,0.10362364826535987,0.29596537971749987,0.27994588017463684,0.2950124144554138,0.02999219298362732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,positive,validated_locomotion,0.55,0.25,0.2,5.8531688663867945,,validated_locomotion,0.55,0.25,0.2,True,"{""validated_locomotion"": -3.7068024872886283, ""cautious_probe"": -22.09635025243262, ""high_clearance_slow_probe"": -23.154499040995262, ""no_valid_forward_recovery_needed"": -51.76711963993877}"
tracer_v1_base_0001,gms_only,data/rollout_metrics/feasible_closed_loop_gms_on_v0.json,rough_mid_cautious_probe_closed_loop,rough_mid,tracer_rough_mid,cautious_probe,cautious,cautious_probe,False,False,False,False,True,True,True,False,0.13875528998105002,0.07708696532086959,0.32457441954292066,0.03735092282295227,0.3325851261615753,0.0871066004037857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,positive,cautious_probe,0.3,0.5,0.2,5.283329709523971,,high_clearance_slow_probe,0.25,0.55,0.2,False,"{""validated_locomotion"": -17.728810172034027, ""cautious_probe"": -5.126449938617836, ""high_clearance_slow_probe"": -4.872952234003537, ""no_valid_forward_recovery_needed"": -36.63911456731094}"
tracer_v1_base_0002,gms_only,data/rollout_metrics/feasible_closed_loop_gms_on_v0.json,slope_5deg_high_clearance_slow_probe_closed_loop,slope_5deg,tracer_slope_5deg,high_clearance_slow_probe,high_clearance,high_clearance_slow_probe,False,False,False,False,True,True,True,False,0.07268313620510944,-0.014426931583395933,0.3242239889407314,0.03581199049949646,0.3331384062767029,0.0883161872625351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,positive,high_clearance_slow_probe,0.25,0.55,0.2,5.21690712514584,,high_clearance_slow_probe,0.25,0.55,0.2,True,"{""validated_locomotion"": -18.16259911726179, ""cautious_probe"": -5.191225421100665, ""high_clearance_slow_probe"": -5.032506398201912, ""no_valid_forward_recovery_needed"": -36.92011839499188}"
tracer_v1_base_0003,ramgate_raw,data/rollout_metrics/feasible_closed_loop_gms_ramgate_v0.json,flat_normal_fast_ramgate_closed_loop,flat_normal,earth,validated_locomotion,fast,validated_locomotion,True,False,True,True,False,True,False,False,0.4610349059740299,0.035963923809115776,0.14196646538894586,0.11990553454396505,0.3190198960234818,0.06035313581668057,0.19357142857142856,0.5007857142857143,0.21635714285714286,0.07692307692307693,0.3076923076923077,0.6153846153846154,0.0,would_conservative_probe,keep,,,invalid_or_risky,no_valid_forward_recovery_needed,0.07692307692307693,0.7730769230769231,0.15,-2.0005035555644315,"RAM gate likely produced a flat-terrain false positive: route stayed closed and no fall was detected, but unstable/override fractions were high and strict height margin failed.",cautious_probe,0.3,0.5,0.2,False,"{""validated_locomotion"": -102.8538689863679, ""cautious_probe"": -102.23569535678901, ""high_clearance_slow_probe"": -102.82303922481672, ""no_valid_forward_recovery_needed"": -106.57291482914957}"
tracer_v1_base_0004,ramgate_raw,data/rollout_metrics/feasible_closed_loop_gms_ramgate_v0.json,rough_mid_cautious_probe_ramgate_closed_loop,rough_mid,tracer_rough_mid,cautious_probe,cautious,cautious_probe,True,False,True,True,True,True,True,False,0.4507331175209812,-0.018120561941601845,0.30258799589131047,0.0884287035551624,0.322045278865934,0.06566275310689125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,keep,keep,,,positive,cautious_probe,0.3,0.5,0.2,5.573321113412291,,cautious_probe,0.3,0.5,0.2,True,"{""validated_locomotion"": -9.76296089571646, ""cautious_probe"": -1.331409780015346, ""high_clearance_slow_probe"": -1.5922617429218575, ""no_valid_forward_recovery_needed"": -43.2165569278613}"
tracer_v1_base_0005,ramgate_raw,data/rollout_metrics/feasible_closed_loop_gms_ramgate_v0.json,slope_5deg_high_clearance_ramgate_closed_loop,slope_5deg,tracer_slope_5deg,high_clearance_slow_probe,high_clearance,high_clearance_slow_probe,True,False,True,True,True,True,True,False,0.2915444989745937,0.15802412108119124,0.32200683596724466,0.0809839043865481,0.3248827321044469,0.06870970059610164,0.0,0.0,0.0,1.0,0.0,0.0,0.0,keep,keep,,,positive,high_clearance_slow_probe,0.25,0.55,0.2,5.433551334941839,,high_clearance_slow_probe,0.25,0.55,0.2,True,"{""validated_locomotion"": -10.906711361165815, ""cautious_probe"": -1.359916633764912, ""high_clearance_slow_probe"": -1.2948027075099853, ""no_valid_forward_recovery_needed"": -44.349711992274166}"
tracer_v1_base_0006,ramgate_calibrated,data/rollout_metrics/feasible_closed_loop_gms_ramgate_calibrated_v0.json,flat_normal_fast_ramgate_calibrated_closed_loop,flat_normal,earth,validated_locomotion,fast,validated_locomotion,True,True,True,True,True,True,True,False,0.797073404119098,0.003260950230023151,0.29504415228952535,0.16655880216391844,0.31009501774432296,0.04736938967976097,0.0,0.0,0.0,1.0,0.0,0.0,0.0,keep,keep,warmup_hold,none,calibration_warning,validated_locomotion,0.55,0.25,0.2,5.9121175564086235,Flat false positive was reduced after RAM gate warmup/hysteresis and validated-fast protection.,validated_locomotion,0.55,0.25,0.2,True,"{""validated_locomotion"": -3.7068024872886283, ""cautious_probe"": -5.320379462157261, ""high_clearance_slow_probe"": -6.0083153718124915, ""no_valid_forward_recovery_needed"": -46.782090809853365}"
tracer_v1_base_0007,ramgate_calibrated,data/rollout_metrics/feasible_closed_loop_gms_ramgate_calibrated_v0.json,rough_mid_cautious_probe_ramgate_calibrated_closed_loop,rough_mid,tracer_rough_mid,cautious_probe,cautious,cautious_probe,True,True,True,True,True,True,True,False,0.48793766504015806,-0.03794081282202061,0.32545715209398884,0.08565569838176026,0.32327509430295603,0.06695395373347876,0.0,0.0,0.0,1.0,0.0,0.0,0.0,keep,keep,warmup_hold,none,positive,cautious_probe,0.3,0.5,0.2,5.633394817134146,,cautious_probe,0.3,0.5,0.2,True,"{""validated_locomotion"": -10.241724905050301, ""cautious_probe"": -1.2709491441486733, ""high_clearance_slow_probe"": -1.5098676657818269, ""no_valid_forward_recovery_needed"": -44.593578780220206}"
tracer_v1_base_0008,ramgate_calibrated,data/rollout_metrics/feasible_closed_loop_gms_ramgate_calibrated_v0.json,slope_5deg_high_clearance_ramgate_calibrated_closed_loop,slope_5deg,tracer_slope_5deg,high_clearance_slow_probe,high_clearance,high_clearance_slow_probe,True,True,True,True,True,True,True,False,0.3083123313088949,0.11566320469058361,0.3239870516448982,0.07885150889218864,0.32538766671901176,0.06930697146469397,0.0,0.0,0.0,1.0,0.0,0.0,0.0,keep,keep,warmup_hold,none,positive,high_clearance_slow_probe,0.25,0.55,0.2,5.452299382953793,,high_clearance_slow_probe,0.25,0.55,0.2,True,"{""validated_locomotion"": -11.111860448345418, ""cautious_probe"": -1.2524874944870685, ""high_clearance_slow_probe"": -1.230047663715382, ""no_valid_forward_recovery_needed"": -44.43119622763355}"
tracer_v1_neg_0000,negative_v1,data/sanity_results/tracer_fusion_ram_gate_joined_gate_eval_closed_slippery_20260624_151729.csv,gate_eval_closed_slippery_20260624_151729_sponge_firm_downslope,sponge_firm_downslope_5deg_forward,tracer_sponge_firm_downslope_5deg,validated_locomotion,sponge_tall_10_c080,validated_locomotion,True,False,True,True,False,True,False,False,2.800513979990616,1.2761630411423182,0.1947864001197298,0.0,0.0,0.0,0.298,0.9962,0.0,0.0,0.0,1.0,1.0,invalid_or_risky,would_conservative_probe,,,invalid_or_risky,no_valid_forward_recovery_needed,0.1,0.75,0.15,-3.5,high_confidence_negative: fallen_tail5_high=0.996,no_valid_forward_recovery_needed,0.09935897435897437,0.7506410256410256,0.15,True,"{""validated_locomotion"": -59.19731447061886, ""cautious_probe"": -54.30469053735595, ""high_clearance_slow_probe"": -53.568244448898625, ""no_valid_forward_recovery_needed"": -18.240378235973395}"
