benchmark_group,name,label,semantic_mode,risk_level,vx_scale,body_height_delta,clearance_delta,impedance_scale,recovery_needed,reward_mean,directional_dx,final_dy,abs_final_dy,done_count,mean_theta0,gms_note,log_path
stable,solid_even_forward,stable,normal_forward,low,1.0,0.0,0.0,1.0,False,0.045035,0.028664,-0.001238,0.001238,0,0.127866,V0 active0 can traverse this terrain.,logs/tracer_runs/eval_active0_solid_even_forward_legacy_noctx_model19_20260626_011105.log
stable,solid_downslope5_forward,stable,normal_forward,low,1.0,0.0,0.0,1.0,False,0.045904,0.050602,-0.003608,0.003608,0,-0.356015,V0 active0 can traverse this terrain.,logs/tracer_runs/eval_active0_solid_downslope5_forward_legacy_noctx_model19_20260626_005922.log
stable,rough_bumps_start020_forward,stable,normal_forward,low,1.0,0.0,0.0,1.0,False,0.045273,0.028048,-0.000931,0.000931,0,0.185164,V0 active0 can traverse this terrain.,logs/tracer_runs/eval_active0_rough_bumps_start020_forward_legacy_noctx_model19_20260626_013717.log
safe_no_progress,solid_upslope5_forward,safe_no_progress,high_clearance_slow_probe,medium,0.45,0.02,0.03,1.15,False,0.031098,-0.022638,0.001229,0.001229,0,0.027992,Robot remains safe but does not make useful forward progress.,logs/tracer_runs/eval_active0_solid_upslope5_forward_legacy_noctx_model19_20260626_011853.log
borderline,rough_bumps_start018_forward,borderline,cautious_probe,medium,0.55,0.01,0.02,1.1,False,0.040052,0.009999,-0.000283,0.000283,0,0.025269,Traversal is possible but progress is weak.,logs/tracer_runs/eval_active0_rough_bumps_start018_forward_legacy_noctx_model19_20260626_013811.log
unstable_slip_or_drift,icy_slippery_even_forward,unstable_slip_or_drift,active_hold_or_slow_probe,high,0.25,0.03,0.01,1.25,True,-5.954946,0.062006,-0.088156,0.088156,15,0.008428,"Apparent progress is dominated by slip, drift, or unstable descent.",logs/tracer_runs/eval_active0_icy_slippery_even_forward_legacy_noctx_model19_20260626_011155.log
unstable_slip_or_drift,sponge_like_even_forward,unstable_slip_or_drift,active_hold_or_slow_probe,high,0.25,0.03,0.01,1.25,True,-4.483765,0.057194,-0.132297,0.132297,18,-0.032204,"Apparent progress is dominated by slip, drift, or unstable descent.",logs/tracer_runs/eval_active0_sponge_like_even_forward_legacy_noctx_model19_20260626_011334.log
unstable_slip_or_drift,icy_slippery_downslope5_forward,unstable_slip_or_drift,active_hold_or_slow_probe,high,0.25,0.03,0.01,1.25,True,-3.30623,0.15492,-0.008472,0.008472,40,-0.248344,"Apparent progress is dominated by slip, drift, or unstable descent.",logs/tracer_runs/eval_active0_icy_slippery_downslope5_forward_legacy_noctx_model19_20260626_012417.log
unstable_slip_or_drift,sponge_like_downslope5_forward,unstable_slip_or_drift,active_hold_or_slow_probe,high,0.25,0.03,0.01,1.25,True,-4.163631,0.126863,-0.081235,0.081235,32,0.061821,"Apparent progress is dominated by slip, drift, or unstable descent.",logs/tracer_runs/eval_active0_sponge_like_downslope5_forward_legacy_noctx_model19_20260626_012553.log
failure,mud_slippery_even_forward,failure,no_valid_forward_recovery_needed,critical,0.0,0.04,0.0,1.35,True,-6.041593,-0.009315,-0.053452,0.053452,24,0.21693,Forward traversal failed for V0 active0 baseline.,logs/tracer_runs/eval_active0_mud_slippery_even_forward_legacy_noctx_model19_20260626_011244.log
failure,icy_slippery_upslope5_forward,failure,no_valid_forward_recovery_needed,critical,0.0,0.04,0.0,1.35,True,-6.561584,-0.002605,2.6e-05,2.6e-05,64,0.268168,Forward traversal failed for V0 active0 baseline.,logs/tracer_runs/eval_active0_icy_slippery_upslope5_forward_legacy_noctx_model19_20260626_013044.log
failure,mud_slippery_upslope5_forward,failure,no_valid_forward_recovery_needed,critical,0.0,0.04,0.0,1.35,True,-6.591571,-0.002961,2.4e-05,2.4e-05,64,0.067971,Forward traversal failed for V0 active0 baseline.,logs/tracer_runs/eval_active0_mud_slippery_upslope5_forward_legacy_noctx_model19_20260626_013132.log
failure,sponge_like_upslope5_forward,failure,no_valid_forward_recovery_needed,critical,0.0,0.04,0.0,1.35,True,-6.547353,-0.00395,1.8e-05,1.8e-05,64,-0.047913,Forward traversal failed for V0 active0 baseline.,logs/tracer_runs/eval_active0_sponge_like_upslope5_forward_legacy_noctx_model19_20260626_013220.log
